                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     71,                0.65019,                 1.1688,                0.56074,                0.98121,                0.64227,                0.85223,                0.81724,                  0.661,                0.66272,                0.78457,                0.80268,                0.57457,                0.70069,                 1.6726,                0.65158,                0.93887,               0.006535,               0.006535,               0.006535
                     72,                0.67247,                 1.1463,                0.55701,                0.96458,                0.71174,                0.84479,                0.84864,                0.69478,                0.70142,                0.83698,                 0.8357,                0.61831,                0.71156,                 1.5536,                 0.6048,                0.93958,              0.0064855,              0.0064855,              0.0064855
                     73,                0.66837,                 1.0385,                0.55582,                0.97673,                0.76723,                0.87445,                0.86537,                0.73049,                0.77123,                0.87891,                0.85577,                0.63296,                0.72866,                 1.5417,                0.60974,                0.94435,               0.006436,               0.006436,               0.006436
                     74,                0.69868,                 1.2053,                0.59847,                0.98719,                0.77938,                0.91487,                0.86241,                 0.7058,                0.77107,                0.90544,                0.85184,                0.61823,                0.71815,                 1.6645,                0.57139,                0.95323,              0.0063865,              0.0063865,              0.0063865
                     75,                0.64876,                 1.0912,                0.58989,                0.97309,                0.81111,                0.91484,                0.88929,                0.74609,                 0.8183,                0.89315,                0.87281,                 0.6305,                0.66921,                  1.843,                0.56029,                0.92063,               0.006337,               0.006337,               0.006337
                     76,                0.68334,                 1.1061,                0.57311,                0.97972,                0.92599,                0.85266,                0.91456,                0.75149,                0.94051,                0.83982,                0.89062,                0.65608,                0.70627,                 1.8486,                0.57833,                0.92709,              0.0062875,              0.0062875,              0.0062875
                     77,                0.65422,                 1.0233,                0.53036,                0.97941,                0.90017,                0.88812,                0.93289,                0.78568,                0.90854,                 0.8815,                0.89738,                 0.6686,                0.68414,                 1.6998,                0.54607,                 0.9166,               0.006238,               0.006238,               0.006238
                     78,                0.68298,                 1.0393,                0.55325,                0.97546,                0.93825,                0.86708,                0.94408,                0.77429,                 0.9424,                0.87154,                0.89094,                0.65884,                0.68195,                  2.043,                0.54018,                0.91876,              0.0061885,              0.0061885,              0.0061885
                     79,                0.66526,                 1.1286,                0.54825,                0.97978,                0.96266,                0.86447,                0.94677,                0.81382,                0.96266,                0.86447,                0.89825,                0.70112,                0.65687,                 2.3874,                0.49391,                  0.904,               0.006139,               0.006139,               0.006139
                     80,                0.68828,                 1.0887,                0.55498,                0.95865,                0.92604,                 0.8997,                0.95246,                0.82028,                0.91814,                0.89389,                0.89889,                 0.6973,                0.67498,                 1.8617,                0.48788,                0.91033,              0.0060895,              0.0060895,              0.0060895
